,date,latitude,longitude,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
0,2020-01-01 07:00:00+00:00,37.45598,-121.93182,4.3185,20.565947,-16.3815,0.1460638,0.0,0.0,0.0,0.0,0.0,1031.5,1029.5972,0.0,0.0,0.0,0.0,0.11215898,0.6619505,3.5455887,4.6938257,336.0375,327.52884,15.84,-0.6315,0.9685,6.7685,15.968499,0.246,0.228,0.066,0.18
1,2020-01-01 08:00:00+00:00,37.45598,-121.93182,1.2185,32.135635,-13.6315,-3.140542,0.0,0.0,0.0,0.0,0.0,1031.6,1029.6753,0.0,0.0,0.0,0.0,0.061917648,0.45393342,5.8603754,13.004922,47.489597,41.63345,10.440001,-0.58149993,0.9685,6.7685,15.968499,0.246,0.228,0.067,0.18
2,2020-01-01 09:00:00+00:00,37.45598,-121.93182,-1.2815,62.9709,-7.4315,-5.7925577,0.0,0.0,0.0,0.0,0.0,1031.7,1029.7573,0.0,0.0,0.0,0.0,0.026811384,0.20665014,10.144082,20.570463,62.525658,57.144287,18.72,-0.58149993,0.9685,6.7185,15.968499,0.245,0.228,0.067,0.18
3,2020-01-01 10:00:00+00:00,37.45598,-121.93182,-4.0315,78.41056,-7.2315,-8.409879,0.0,0.0,0.0,0.0,0.0,1032.1,1030.137,4.2000003,0.0,0.0,14.0,0.0040114573,0.09824708,9.360001,13.527572,112.61991,64.79892,18.359999,-0.6315,0.9685,6.7185,15.968499,0.245,0.228,0.067,0.18
4,2020-01-01 11:00:00+00:00,37.45598,-121.93182,-3.5815,72.10096,-7.8815,-7.3047237,0.0,0.0,0.0,0.0,1.0,1032.3,1030.3398,21.300001,0.0,0.0,71.0,0.0,0.13130733,4.452954,7.172949,165.96373,107.52566,11.879999,-0.68149996,0.9685,6.7185,15.968499,0.245,0.228,0.067,0.18
5,2020-01-01 12:00:00+00:00,37.45598,-121.93182,-4.4815,78.945984,-7.5815,-8.264805,0.0,0.0,0.0,0.0,0.0,1032.6,1030.6327,17.7,0.0,14.0,31.0,0.0,0.092620015,5.0528407,5.495161,175.91446,121.60746,10.08,0.6685,1.0185,6.7185,15.968499,0.245,0.228,0.067,0.18
6,2020-01-01 13:00:00+00:00,37.45598,-121.93182,-4.0815,76.90485,-7.5315,-7.6507955,0.0,0.0,0.0,0.0,1.0,1032.3,1030.3363,34.2,0.0,15.0,84.0,0.0,0.10470301,3.6179552,3.7585104,185.7105,106.699326,6.8399997,0.56850004,1.0185,6.7185,15.9185,0.245,0.228,0.067,0.18
7,2020-01-01 14:00:00+00:00,37.45598,-121.93182,-3.8814998,75.17746,-7.6315,-7.264469,0.0,0.0,0.0,0.0,1.0,1032.1,1030.138,35.4,0.0,13.0,92.0,0.0,0.114234805,2.2768397,2.52,198.43504,90.0,5.3999996,0.46850002,1.0185,6.6685,15.9185,0.245,0.228,0.067,0.18
8,2020-01-01 15:00:00+00:00,37.45598,-121.93182,-3.7315001,71.51405,-8.1315,-7.0627365,0.0,0.0,0.0,0.0,1.0,1031.8,1029.8398,30.300001,0.0,5.0,91.0,0.0,0.13257065,1.609969,1.484318,206.56499,104.03627,4.68,0.4185,1.0185,6.6685,15.9185,0.245,0.228,0.067,0.18
9,2020-01-01 16:00:00+00:00,37.45598,-121.93182,-3.6315,70.43225,-8.231501,-7.0429764,0.0,0.0,0.0,0.0,1.0,1031.8,1029.8406,27.6,0.0,0.0,92.0,0.0,0.13863799,2.0991426,2.3051248,210.96368,231.34016,5.3999996,0.3185,1.0685,6.6685,15.9185,0.245,0.228,0.067,0.18
